num_envs,step_us_per_call,step_ns_per_env,write_masks_us_per_call,write_masks_ns_per_env,write_obs_us_per_call,write_obs_ns_per_env,pick_us_per_call,step_steps_per_sec,hotpath_steps_per_sec
1,0.236,235.69,0.097,97.44,0.171,170.83,8.194,4242906.0,117276.0
64,7.439,116.24,0.137,2.14,5.117,79.96,8.076,8603235.0,4088967.0
256,13.972,54.58,0.243,0.95,19.811,77.39,13.005,18322329.0,9404806.0
1024,41.132,40.17,1.426,1.39,80.472,78.59,25.788,24895257.0,14982593.0
4096,168.499,41.14,5.314,1.3,341.129,83.28,49.569,24308792.0,18336313.0
