matchup,n_games,n_timeout,wins_s0,win_rate_s0,win_ci95_lo_s0,win_ci95_hi_s0,wins_s1,win_rate_s1,win_ci95_lo_s1,win_ci95_hi_s1,wins_s2,win_rate_s2,win_ci95_lo_s2,win_ci95_hi_s2,wins_s3,win_rate_s3,win_ci95_lo_s3,win_ci95_hi_s3,avg_steps,std_steps,p25_steps,p50_steps,p75_steps,p95_steps,avg_turns,std_turns,p50_turns,p95_turns,avg_wall_ms_per_game,avg_winner_vp,avg_loser_vp,throughput_games_s,throughput_steps_s,total_wall_s
fast_random4,1000,0,262,0.262,0.2357,0.2901,232,0.232,0.2069,0.2592,256,0.256,0.2299,0.2839,250,0.25,0.2242,0.2778,1083.2,437.9,770.0,1006.0,1318.0,1897.0,332.7,130.6,310.0,584.0,1.418,10.05,4.61,705.005,763646.0,1.42
cat_random4,1000,0,248,0.248,0.2222,0.2757,251,0.251,0.2251,0.2788,245,0.245,0.2194,0.2726,256,0.256,0.2299,0.2839,1062.9,430.3,735.0,988.0,1310.0,1830.0,328.9,131.0,306.0,565.0,10.472,5.92,5.99,95.49,101495.0,10.47
