matchup,n_games,n_timeout,wins_s0,win_rate_s0,win_ci95_lo_s0,win_ci95_hi_s0,wins_s1,win_rate_s1,win_ci95_lo_s1,win_ci95_hi_s1,wins_s2,win_rate_s2,win_ci95_lo_s2,win_ci95_hi_s2,wins_s3,win_rate_s3,win_ci95_lo_s3,win_ci95_hi_s3,avg_steps,std_steps,p25_steps,p50_steps,p75_steps,p95_steps,avg_turns,std_turns,p50_turns,p95_turns,avg_wall_ms_per_game,avg_winner_vp,avg_loser_vp,throughput_games_s,throughput_steps_s,total_wall_s
fast_random4,1000,0,262,0.262,0.2357,0.2901,232,0.232,0.2069,0.2592,256,0.256,0.2299,0.2839,250,0.25,0.2242,0.2778,1083.2,437.9,770.0,1006.0,1318.0,1897.0,332.7,130.6,310.0,584.0,1.393,10.05,4.61,717.658,777352.0,1.39
cat_random4,1000,1,245,0.245,0.2194,0.2726,251,0.251,0.2251,0.2788,237,0.237,0.2117,0.2643,266,0.266,0.2395,0.2942,1055.9,428.3,755.0,997.0,1270.0,1825.0,326.4,128.8,309.0,568.0,10.377,10.05,4.62,96.363,101754.0,10.38
